comments,duration,event,film_date,languages,main_speaker,name,num_speaker,published_date
4553,1164,TED2006,1140825600,60,Ken Robinson,Ken Robinson: Do schools kill creativity?,1,1151367060
265,977,TED2006,1140825600,43,Al Gore,Al Gore: Averting the climate crisis,1,1151367060
124,1286,TED2006,1140739200,26,David Pogue,David Pogue: Simplicity sells,1,1151367060
200,1116,TED2006,1140912000,35,Majora Carter,Majora Carter: Greening the ghetto,1,1151367060
593,1190,TED2006,1140566400,48,Hans Rosling,Hans Rosling: The best stats you've ever seen,1,1151440680
672,1305,TED2006,1138838400,36,Tony Robbins,Tony Robbins: Why we do what we do,1,1151440680
919,992,TED2006,1140739200,31,Julia Sweeney,Julia Sweeney: Letting go of God,1,1152490260
46,1198,TED2006,1140652800,19,Joshua Prince-Ramus,Joshua Prince-Ramus: Behind the design of Seattle's library,1,1152490260
852,1485,TED2006,1138838400,32,Dan Dennett,Dan Dennett: Let's teach religion -- all religion -- in schools,1,1153181460
900,1262,TED2006,1140825600,31,Rick Warren,Rick Warren: A life of purpose,1,1153181460
79,1414,TED2006,1140912000,27,Cameron Sinclair,Cameron Sinclair: My wish: A call for open-source architecture,1,1153786260
55,1538,TED2006,1140912000,20,Jehane Noujaim,Jehane Noujaim: My wish: A global day of film,1,1153786260
71,1550,TED2006,1140652800,24,Larry Brilliant,Larry Brilliant: My wish: Help me stop pandemics,1,1153786260
242,527,TED2006,1139184000,27,Jeff Han,Jeff Han: The radical promise of the multi-touch interface,1,1154391060
99,1057,TED2006,1140652800,25,Nicholas Negroponte,Nicholas Negroponte: One Laptop per Child,1,1154391060
325,1481,TED2006,1140652800,31,Sirena Huang,Sirena Huang: An 11-year-old's magical violin,1,1154995860
305,1445,TED2004,1077753600,32,Jennifer Lin,"Jennifer Lin: Improvising on piano, aged 14",1,1154995860
88,906,TED2006,1140739200,27,Amy Smith,Amy Smith: Simple designs to save a life,1,1155600660
163,1170,TED2005,1109289600,22,Ross Lovegrove,"Ross Lovegrove: Organic design, inspired by nature",1,1155600660
84,1201,TEDGlobal 2005,1121299200,32,Jimmy Wales,Jimmy Wales: The birth of Wikipedia,1,1156119060
108,1114,TED2006,1140652800,27,Richard Baraniuk,Richard Baraniuk: The birth of the open-source learning revolution,1,1156119060
185,1136,TED2004,1077580800,26,Ze Frank,Ze Frank: Nerdcore comedy,1,1156464660
